Name,Purpose,Cost (USD),Qty,Total (USD),Link,Distributor
HC-SR04,ultrasonic sensor,0.80,1,0.80,https://robocraze.com/products/hc-sr-04-ultrasonic-sensor?variant=40192340983961&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,Robocraze
Robocraze shipping,shipment charge of robocraze,0.54,1,0.54,Link to Listing,robocraze
mpu6050,to monitor the movement of the car,1.90,1,1.90,https://robocraze.com/products/mpu-6050-triple-axis-accelerometer-gyroscope-module?variant=40192322011289&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,Robocraze
hc-sr04 mounting bracket,to mount the hc-sr04,0.22,1,0.22,https://robocraze.com/products/mounting-bracket-for-hc-sr04-ultrasonic-module?variant=43394849112288&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,Robocraze
HC-05,bluetooth module,2.43,1,2.43,https://robocraze.com/products/hc-05-bluetooth-module?variant=40193264189593&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,Robocraze
ir sensor,for multi-purposing the car as line-follower robot too,0.32,3,0.96,https://robocraze.com/products/ir-proximity-sensor-1?variant=40192623640729&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,Robocraze
servo,to mount the ultrasonic,1.18,1,1.18,https://robocraze.com/products/sg90-micro-servo-motor?variant=40192525238425,Robocraze
2wd chasis car set,to build the car,3.14,1,3.14,https://robocraze.com/products/2wd-two-wheel-drive-diy-kit-a-smart-robot-car-with-chassis?variant=40192705036441&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,Robocraze
Quartz shipping,shipping,0.91,1,0.91,Link to Listing,quartz component
470 uF electrolytic,for safety,0.05,2,0.10,https://quartzcomponents.com/products/470-%C2%B5f-25v-radial-electrolytic-capacitor-through-hole?variant=45660873916650&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic?utm_source=google&utm_medium=FreeListings,quartz component
100 nf ceramic,for decoupling,0.05,6,0.30,https://quartzcomponents.com/products/10000-pf-0-1uf-ceramic-capacitor?variant=31898110197895&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic?utm_source=google&utm_medium=FreeListings,quartz component
led,for the status,0.02,1,0.02,https://quartzcomponents.com/products/red-5mm-led,quartz component
mini heatsink for l7805,to absorb the heat of the l7805,0.21,1,0.21,https://quartzcomponents.com/products/22-15-10mm-black-aluminum-heat-sink-for-to-220-package-power-transistor-cooling?variant=45643070800106&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic?utm_source=google&utm_medium=FreeListings,quartz component
l7805,voltage regulator,0.09,1,0.09,https://quartzcomponents.com/products/lm7805-5v-positive-regulator?variant=31898041942151&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic?utm_source=google&utm_medium=FreeListings,quartz component
2 pin screw terminal,for motor outputs and power inputs,0.04,3,0.12,https://quartzcomponents.com/products/2-pin-pcb-mount-terminal-block-screw-type?variant=37646366474424&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic?utm_source=google&utm_medium=FreeListings,quartz component
buzzer,buzzzz,0.14,1,0.14,https://quartzcomponents.com/products/piezo-buzzer,quartz component
l293d,motor driver ic,0.21,1,0.21,https://quartzcomponents.com/products/l293d-motor-driver-ic,quartz component
female hedaersx40,for arduino nano & conectors,0.11,2,0.22,https://quartzcomponents.com/products/40-pin-straight-female-berg-strips,quartz component
male header x 40,for connectors,0.08,1,0.08,https://quartzcomponents.com/products/40-pin-break-away-headers-straight-male-headers,quartz component
PCB manufacturing(5) + shipping (robu),to get the pcb manufactured,10.33,1,10.33,production/gerber.zip,Robu.in